Polling Firm,Fieldwork Start,Fieldwork End,Period Estimated,Scope,Variant,Sample Size,Participation Rate,Participation,Precision,ANO,ODS,Piráti,SPD,Stačilo!,KSČM,SOCDEM,KDU-ČSL,TOP 09,STAN,Svobodní,Zelení,Úsvit,Trikolóra,STAN-TOP,ČSL-STAN,SPOLU,Pir-STAN,TSS,Přísaha,AUTO,Přísaha+AUTO,VB,PRO,DSSS,SPOZ,VV,US-DEU,Koalice,DEU,SPR-RSC,NEZ,SNK-ED,SŽJ,ODA,LB,HSMS-MNS,ODS+KDS,LB+KSČM,LSU,ZS,ČSS,OH,KDS,Other,Source
Median,2021-03-01,2021-03-29,FALSE,National,,1013,0.67,680,0.5,0.245,,,0.1,,0.075,0.04,,,,,0.02,,0.03,,,0.175,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://www.median.eu/cs/wp-content/uploads/2021/03/Volby_2021_03_v03MK.pdf
Ipsos,2021-03-12,2021-03-16,FALSE,National,,1036,0.65,,0.1,0.253,,,0.095,,0.04,0.04,,,,0.019,0.015,,0.031,,,0.209,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,https://www.ipsos.com/sites/default/files/ct/news/documents/2021-04/tiskova_zprava_ipsos_volebni_model_9.4.2021.pdf
Kantar,2021-02-15,2021-03-05,FALSE,National,"w/o SPOLU, PirSTAN, TSS",1200,,957,0.5,0.205,0.095,0.22,0.105,,0.05,0.045,0.045,0.055,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,https://ct24.ceskatelevize.cz/sites/default/files/2543796-trendy_ceska_2021_vlna_67_model.pdf
Kantar,2021-02-15,2021-03-05,FALSE,National,,1200,,921,0.5,0.22,,,0.11,,0.055,0.045,,,,,,,,,,0.175,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,https://ct24.ceskatelevize.cz/sites/default/files/2543796-trendy_ceska_2021_vlna_67_model.pdf
Median,2021-02-01,2021-03-02,FALSE,National,,1048,0.645,676,0.5,0.265,,,0.1,,0.08,0.045,,,,,0.015,,0.025,,,0.185,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://www.median.eu/cs/wp-content/uploads/2021/03/Volby_2021_02_FINAL_v03-3.pdf
STEM,2021-02-01,2021-02-28,TRUE,National,"w/o SPOLU, PirSTAN",,,,0.1,0.298,0.07,0.182,0.095,,0.061,0.042,0.032,0.042,0.086,,,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.stem.cz/volebni-preference-stem-konec-zari-2021/
STEM,2021-02-01,2021-02-28,TRUE,National,,,,,0.1,0.299,,,0.096,,0.061,0.042,,,,,,,,,,0.153,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.stem.cz/volebni-preference-stem-konec-zari-2021/
Ipsos,2021-02-15,2021-02-19,FALSE,National,,1002,0.65,,0.1,0.254,,,0.094,,0.048,0.055,,,,0.018,0.016,,0.034,,,0.205,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,https://www.ipsos.com/sites/default/files/ct/news/documents/2021-03/tiskova_zprava_ipsos_volebni_model_12032021.pdf
Kantar,2021-01-18,2021-02-05,FALSE,National,"w/o SPOLU, PirSTAN",1200,,927,0.5,0.26,0.105,0.21,0.095,,0.05,0.035,0.045,0.045,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,https://ct24.ceskatelevize.cz/sites/default/files/2536514-trendy_ceska_2021_vlna66_volebni_model.pdf
Kantar,2021-01-18,2021-02-05,FALSE,National,,1200,,898,0.5,0.265,,,0.105,,0.05,0.04,,,,,,,,,,0.195,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,https://ct24.ceskatelevize.cz/sites/default/files/2536514-trendy_ceska_2021_vlna66_volebni_model.pdf
Ipsos,2021-01-15,2021-01-19,FALSE,National,,1018,0.64,,0.1,0.272,,,0.084,,0.06,0.058,,,,0.019,0.012,,0.036,,,0.217,0.232,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,https://www.ipsos.com/sites/default/files/ct/news/documents/2021-02/tiskova_zprava_ipsos_volebni_model_12.2.2021_0.pdf
Median,2021-01-01,2021-01-29,FALSE,National,,1062,0.635,675,0.5,0.265,,,0.09,,0.07,0.07,,,,,0.015,,0.02,,,0.185,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://www.median.eu/cs/wp-content/uploads/2021/02/Volby_2021_01_v03_FINAL.pdf
STEM,2020-12-01,2020-12-31,TRUE,National,"w/o SPOLU, PirSTAN",,,,0.1,0.307,0.115,0.174,0.105,,0.038,0.041,0.033,0.057,0.073,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.stem.cz/volebni-preference-stem-konec-zari-2021/
STEM,2020-12-01,2020-12-31,TRUE,National,,,,,0.1,0.305,,,0.103,,0.038,0.039,,,,,,,,,,0.207,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.stem.cz/volebni-preference-stem-konec-zari-2021/
Kantar,2020-11-13,2020-12-04,FALSE,National,w/ SPOLU,1200,,,0.5,,,,,,,,,,,,,,,,,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ct24.ceskatelevize.cz/sites/default/files/2522422-trendy_ceska_2020_vlna_65_volebni_model.pdf
Kantar,2020-11-13,2020-12-04,FALSE,National,,1200,,923,0.5,0.25,0.115,0.2,0.105,,0.035,0.045,0.045,0.05,0.105,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://ct24.ceskatelevize.cz/sites/default/files/2522422-trendy_ceska_2020_vlna_65_volebni_model.pdf
STEM,2020-11-01,2020-11-30,TRUE,National,,,,,0.1,0.249,0.085,0.181,0.113,,0.05,0.052,0.031,0.054,0.101,,,,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.stem.cz/volebni-preference-stem-konec-zari-2021/
Median,2020-11-01,2020-11-30,FALSE,National,,1003,0.625,630,0.5,0.285,0.105,0.14,0.085,,0.06,0.07,0.045,0.05,0.105,,0.015,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,https://www.median.eu/cs/wp-content/uploads/2020/12/MEDIAN_voleni_model_2020_11.pdf
Kantar,2020-10-19,2020-11-06,FALSE,National,,1200,0.71,894,0.5,0.275,0.105,0.21,0.09,,0.045,0.03,0.04,0.055,0.11,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://ct24.ceskatelevize.cz/clanek/domaci/ano-i-starostove-si-v-pruzkumu-polepsili-hur-je-na-tom-ods-nebo-cssd-42310
Median,2020-10-01,2020-10-29,FALSE,National,,1072,0.655,,0.5,0.285,0.13,0.135,0.075,,0.07,0.065,0.05,0.065,0.075,,0.015,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,https://www.median.eu/cs/wp-content/uploads/2020/11/MEDIAN_voleni_model_2020_10.pdf
Kantar,2020-09-21,2020-10-09,FALSE,National,,1200,0.76,895,0.5,0.245,0.135,0.19,0.08,,0.045,0.04,0.06,0.055,0.095,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://ct24.ceskatelevize.cz/clanek/domaci/ano-se-opet-propadlo-na-prelomu-zari-a-rijna-melo-nejmensi-podporu-od-voleb-v-roce-2017-44301
CVVM,2020-09-05,2020-09-20,FALSE,National,,917,0.6,656,0.1,0.316,0.127,0.158,0.047,,0.094,0.107,0.034,0.038,0.044,,0.01,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
STEM,2020-08-31,2020-09-13,FALSE,National,,1027,0.56,,0.1,0.284,0.106,0.128,0.088,,0.073,0.073,0.054,0.053,0.075,0.01,0.011,,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,https://www.stem.cz/volebni-preference-stem-zari-2020/
Kantar,2020-08-24,2020-09-11,FALSE,National,,1200,0.75,887,0.5,0.275,0.15,0.195,0.08,,0.045,0.055,0.04,0.05,0.065,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://ct24.ceskatelevize.cz/clanek/domaci/dominantni-ano-v-srpnu-ztracelo-posilili-pirati-ods-ci-spd-44263
Median,2020-08-01,2020-08-27,FALSE,National,,1037,0.63,,0.5,0.295,0.11,0.125,0.075,,0.07,0.095,0.055,0.065,0.05,,0.02,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,https://www.median.eu/cs/wp-content/uploads/2020/09/MEDIAN_voleni_model_2020_08.pdf
CVVM,2020-07-18,2020-07-27,FALSE,National,,935,0.61,662,0.1,0.291,0.121,0.143,0.058,,0.076,0.095,0.067,0.036,0.056,0.009,0.017,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
Kantar,2020-06-15,2020-07-03,FALSE,National,,1200,,865,0.5,0.32,0.13,0.18,0.055,,0.055,0.05,0.045,0.055,0.06,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://ct24.ceskatelevize.cz/clanek/domaci/pirati-si-ve-volebnim-modelu-upevnili-druhou-pozici-v-cele-zustava-s-naskokem-ano-47491
CVVM,2020-06-20,2020-07-02,FALSE,National,,992,0.61,697,0.1,0.291,0.14,0.135,0.038,,0.074,0.131,0.047,0.047,0.049,,0.015,,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
Kantar,2020-05-18,2020-06-05,FALSE,National,,1200,,832,0.5,0.315,0.135,0.17,0.08,,0.05,0.055,0.04,0.05,0.055,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://ct24.ceskatelevize.cz/clanek/domaci/volby-by-s-naskokem-vyhralo-ano-lidovci-dale-zustavaji-pod-petiprocentni-hranici-48645
STEM,2020-05-22,2020-06-01,FALSE,National,,1086,0.56,,0.1,0.337,0.114,0.128,0.065,,0.073,0.089,0.061,0.033,0.042,0.007,0.014,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,https://www.stem.cz/volebni-preference-stem-kveten-2020/
Kantar,2020-04-14,2020-04-30,FALSE,National,,1200,,906,0.5,0.34,0.115,0.16,0.07,,0.055,0.055,0.04,0.065,0.055,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://ct24.ceskatelevize.cz/clanek/domaci/na-prvnim-miste-se-drzi-ano-v-dubnu-rostly-nejvice-preference-piratum-51143
Kantar,2020-03-09,2020-03-27,FALSE,National,,1200,,924,0.5,0.345,0.14,0.135,0.055,,0.055,0.06,0.045,0.055,0.055,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://ct24.ceskatelevize.cz/clanek/domaci/v-breznu-posilila-dominance-hnuti-ano-na-34-5-procenta-ztratu-zaznamenali-pirati-51341
Median,2020-02-29,2020-03-26,FALSE,National,,1019,0.645,,0.5,0.295,0.13,0.12,0.06,,0.075,0.075,0.05,0.055,0.055,,0.015,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://www.median.eu/cs/wp-content/uploads/2020/04/MEDIAN_volebni_model_2020_3.pdf
STEM,2020-03-05,2020-03-15,FALSE,National,,1008,0.56,,0.1,0.308,0.118,0.152,0.086,,0.074,0.07,0.055,0.043,0.057,0.008,0.006,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,https://www.stem.cz/volebni-preference-stem-brezen-2020/
CVVM,2020-02-29,2020-03-11,FALSE,National,,983,0.62,690,0.1,0.33,0.147,0.123,0.046,,0.072,0.085,0.071,0.047,0.046,,0.008,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
Kantar,2020-02-10,2020-02-28,FALSE,National,,1200,0.73,888,0.5,0.31,0.13,0.155,0.065,,0.045,0.055,0.05,0.055,0.065,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://ct24.ceskatelevize.cz/clanek/domaci/dominance-ano-pokracuje-ukazuje-volebni-model-na-hranici-snemovny-se-tisni-ctyri-strany-52860
Median,2020-01-01,2020-02-13,FALSE,National,,1111,0.625,,0.5,0.3,0.14,0.115,0.075,,0.08,0.07,0.05,0.045,0.06,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://www.median.eu/cs/wp-content/uploads/2020/02/MEDIAN_volebni_model_2020_01.pdf
CVVM,2020-02-01,2020-02-13,FALSE,National,,1020,0.62,715,0.1,0.328,0.142,0.129,0.048,,0.081,0.09,0.06,0.035,0.037,,0.019,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
STEM,2020-01-24,2020-02-06,FALSE,National,,1062,0.54,,0.1,0.327,0.098,0.136,0.081,,0.077,0.055,0.055,0.041,0.045,0.013,0.015,,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,https://www.stem.cz/volebni-preference-stem/
Kantar,2020-01-13,2020-01-31,FALSE,National,,1200,0.59,899,0.5,0.3,0.125,0.165,0.075,,0.065,0.05,0.05,0.055,0.05,,0.02,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://ct24.ceskatelevize.cz/clanek/domaci/kolem-petiprocentni-hranice-je-plno-hnuti-ano-by-zato-v-lednu-dosahlo-na-tricet-procent-53167
CVVM,2020-01-11,2020-01-22,FALSE,National,,1028,0.65,758,0.1,0.321,0.153,0.134,0.042,,0.074,0.087,0.054,0.048,0.055,,0.008,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
CVVM,2019-11-30,2019-12-11,FALSE,National,,1007,0.62,713,0.1,0.298,0.126,0.139,0.053,,0.081,0.102,0.066,0.033,0.04,0.008,0.016,,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
STEM,2019-11-29,2019-12-10,FALSE,National,,1083,,,0.1,0.336,0.123,0.123,0.056,,0.082,0.064,0.064,0.058,0.055,0.018,0.01,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,https://www.stem.cz/volebni-preference-prosinec-2019/
Median,2019-10-29,2019-11-30,FALSE,National,,1126,0.63,,0.5,0.305,0.125,0.125,0.075,,0.075,0.075,0.05,0.055,0.06,,0.015,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://www.median.eu/cs/wp-content/uploads/2019/12/MEDIAN_Snemovni_model_2019_11.pdf
Kantar,2019-11-09,2019-11-29,FALSE,National,,1200,,873,0.5,0.285,0.145,0.135,0.065,,0.05,0.06,0.045,0.055,0.065,,0.01,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://ct24.ceskatelevize.cz/clanek/domaci/v-listopadu-si-pohorsilo-hnuti-ano-i-pirati-ods-by-byla-druha-55880
STEM,2019-11-14,2019-11-26,FALSE,National,,1111,,,0.1,0.349,0.106,0.109,0.091,,0.071,0.064,0.055,0.037,0.072,,0.01,,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,https://www.stem.cz/volebni-preference-listopad-2019/
CVVM,2019-11-02,2019-11-15,FALSE,National,,989,0.61,685,0.1,0.3,0.139,0.133,0.055,,0.091,0.091,0.057,0.035,0.04,0.01,0.012,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
Kantar,2019-10-12,2019-11-01,FALSE,National,,1200,,879,0.5,0.315,0.125,0.17,0.045,,0.07,0.045,0.05,0.06,0.05,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://ct24.ceskatelevize.cz/clanek/domaci/hnuti-ano-i-pirati-v-rijnu-mirne-posilili-spd-pokracovalo-v-sestupnem-trendu-57939
STEM,2019-10-11,2019-10-25,FALSE,National,,1002,0.57,,0.1,0.331,0.105,0.122,0.075,,0.084,0.065,0.056,0.044,0.043,,0.014,,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,https://www.stem.cz/volebni-preference-rijen-2019/
Median,2019-09-30,2019-10-28,FALSE,National,,1153,0.645,,0.5,0.305,0.115,0.125,0.08,,0.07,0.075,0.045,0.06,0.06,,0.02,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://www.median.eu/cs/wp-content/uploads/2019/10/MEDIAN_Snemovni_model_2019_10.pdf
CVVM,2019-10-04,2019-10-20,FALSE,National,,991,0.6,689,0.1,0.338,0.135,0.143,0.045,,0.084,0.101,0.048,0.038,0.023,,0.01,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
Kantar,2019-09-16,2019-10-05,FALSE,National,,1200,,872,0.5,0.3,0.145,0.155,0.06,,0.065,0.05,0.05,0.05,0.055,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://ct24.ceskatelevize.cz/clanek/domaci/v-zari-dosahly-preference-hnuti-ano-30-procent-rada-stran-se-v-modelu-ocitla-na-petiprocentni-hranic-58629
CVVM,2019-09-07,2019-09-17,FALSE,National,,1018,0.59,698,0.1,0.3,0.122,0.131,0.087,,0.087,0.096,0.046,0.042,0.045,,0.012,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
Median,2019-08-28,2019-09-29,FALSE,National,,1012,0.64,,0.5,0.31,0.125,0.135,0.075,,0.065,0.07,0.055,0.055,0.055,,0.02,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://www.median.eu/cs/wp-content/uploads/2019/09/MEDIAN_Snemovni_model_2019_09.pdf
Kantar,2019-08-10,2019-08-30,FALSE,National,,1200,,847,0.5,0.3,0.145,0.17,0.08,,0.045,0.06,0.05,0.045,0.05,,0.02,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ct24.ceskatelevize.cz/clanek/domaci/hnuti-ano-o-prazdninach-posililo-top-09-i-kscm-by-skoncily-pod-peti-procenty-59708
Median,2019-07-27,2019-08-26,FALSE,National,,1081,0.635,,0.5,0.295,0.13,0.145,0.085,,0.06,0.065,0.05,0.055,0.05,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://www.median.eu/cs/wp-content/uploads/2019/08/MEDIAN_volebni_model_2019_8.pdf
Median,2019-07-01,2019-07-26,FALSE,National,,1041,0.62,,0.5,0.285,0.125,0.14,0.09,,0.065,0.08,0.06,0.045,0.06,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://www.median.eu/cs/wp-content/uploads/2019/07/MEDIAN_Snemovni_volebni_model_2019_07.pdf
Median,2019-06-01,2019-06-30,FALSE,National,,1045,0.61,,0.5,0.29,0.145,0.13,0.09,,0.075,0.075,0.055,0.045,0.05,0.01,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,https://www.median.eu/cs/wp-content/uploads/2019/07/MEDIAN_Snemovni_volebni_model_2019_06.pdf
Kantar,2019-06-17,2019-06-26,FALSE,National,,1200,,837,0.5,0.255,0.13,0.185,0.085,,0.055,0.065,0.045,0.05,0.06,,0.01,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://ct24.ceskatelevize.cz/clanek/domaci/preference-hnuti-ano-klesaji-v-pruzkumu-ma-nejhorsi-vysledek-od-roku-2016-63588
CVVM,2019-06-08,2019-06-17,FALSE,National,,1024,0.6,699,0.1,0.292,0.15,0.168,0.064,,0.091,0.074,0.05,0.03,0.044,,0.009,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
Kantar,2019-05-11,2019-05-31,FALSE,National,,1200,,885,0.5,0.275,0.125,0.175,0.105,,0.065,0.06,0.045,0.04,0.07,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://ct24.ceskatelevize.cz/clanek/domaci/hnuti-ano-opetovne-oslabilo-priznivci-pribyli-piratum-i-spd-63089
STEM,2019-05-14,2019-05-30,FALSE,National,,1004,0.56,,0.1,0.325,0.131,0.156,0.079,,0.078,0.064,0.055,0.037,0.038,0.005,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,https://www.stem.cz/volebni-preference-cerven-2019/
Median,2019-04-24,2019-05-25,FALSE,National,,1003,0.63,,0.5,0.305,0.145,0.12,0.1,,0.06,0.085,0.055,0.045,0.05,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,https://www.median.eu/cs/wp-content/uploads/2019/05/MEDIAN_Snemovni_volebni_model_2019_05.pdf
EU ELECTION,2019-05-24,2019-05-25,FALSE,European,,8316737,0.2872,2370765,0.01,0.2118,0.1454,0.1395,0.0914,,0.0694,0.0395,0.0724,,,,,,,0.1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVVM,2019-05-04,2019-05-14,FALSE,National,,1026,0.63,723,0.1,0.281,0.172,0.134,0.052,,0.11,0.095,0.047,0.028,0.044,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
Kantar,2019-04-12,2019-05-03,FALSE,National,,1200,,878,0.5,0.3,0.135,0.16,0.085,,0.06,0.065,0.055,0.04,0.06,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://ct24.ceskatelevize.cz/clanek/domaci/v-dubnu-oslabilo-ano-i-pirati-zato-posilily-spd-a-stan-ukazuje-model-pro-snemovni-volby-64817
Median,2019-03-23,2019-04-24,FALSE,National,,1011,0.61,,0.5,0.295,0.145,0.14,0.075,,0.065,0.09,0.045,0.04,0.055,0.015,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://www.median.eu/cs/wp-content/uploads/2019/04/MEDIAN_Snemovni_volebni_model_2019_04.pdf
STEM,2019-04-05,2019-04-17,FALSE,National,,1074,0.55,,0.1,0.34,0.132,0.111,0.098,,0.095,0.078,0.049,0.037,0.033,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,https://www.stem.cz/stem-volebni-preference-duben-2019/
CVVM,2019-03-30,2019-04-10,FALSE,National,,1032,0.59,719,0.1,0.318,0.139,0.124,0.059,,0.109,0.124,0.041,0.029,0.037,,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
Kantar,2019-03-16,2019-04-05,FALSE,National,,1200,,870,0.5,0.33,0.135,0.19,0.055,,0.06,0.065,0.05,0.04,0.035,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://ct24.ceskatelevize.cz/clanek/domaci/tretina-lidi-by-volila-ano-opet-posiluji-i-pirati-a-ods-podpora-spd-vyrazne-klesla-65607
Median,2019-02-24,2019-03-24,FALSE,National,,1038,0.64,,0.5,0.305,0.14,0.14,0.085,,0.08,0.08,0.05,0.04,0.05,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,https://www.median.eu/cs/wp-content/uploads/2019/03/MEDIAN_Snemovni_volebni_model_2019_03.pdf
CVVM,2019-03-02,2019-03-13,FALSE,National,,1070,0.64,798,0.1,0.32,0.142,0.127,0.047,,0.087,0.127,0.054,0.042,0.033,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
Kantar,2019-02-09,2019-03-01,FALSE,National,,1200,,890,0.5,0.31,0.125,0.175,0.095,,0.06,0.065,0.045,0.04,0.05,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://ct24.ceskatelevize.cz/clanek/domaci/dominance-ano-ve-volebnim-modelu-pokracuje-zvetsil-se-ale-rozestup-mezi-piraty-a-ods-69228
Median,2019-01-24,2019-02-24,FALSE,National,,1018,,,0.5,0.335,0.13,0.13,0.07,,0.075,0.08,0.06,0.04,0.05,0.01,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,https://www.median.eu/cs/wp-content/uploads/2019/02/MEDIAN_Snemovni_volebni_model_2019_02.pdf
CVVM,2019-02-02,2019-02-13,FALSE,National,,1040,0.63,783,0.1,0.304,0.145,0.147,0.046,,0.099,0.108,0.05,0.03,0.047,0.008,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
STEM,2019-01-25,2019-02-06,FALSE,National,,1084,0.53,,0.1,0.319,0.11,0.157,0.077,,0.085,0.083,0.06,0.036,0.04,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,https://www.stem.cz/stem-volebni-preference-leden-2019/
Kantar,2019-01-12,2019-02-01,FALSE,National,,1200,,886,0.5,0.32,0.135,0.165,0.07,,0.065,0.05,0.05,0.055,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://ct24.ceskatelevize.cz/clanek/domaci/na-zacatku-roku-pirati-a-ods-ztraceli-priznivce-ano-se-drzi-v-cele-68006
Median,2018-12-10,2019-01-24,FALSE,National,,1129,0.635,,0.5,0.3,0.155,0.135,0.08,,0.075,0.09,0.045,0.045,0.04,0.015,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,https://www.median.eu/cs/wp-content/uploads/2019/01/MEDIAN_Snemovni_volebni_model_2019_01.pdf
CVVM,2019-01-05,2019-01-17,FALSE,National,,1062,0.62,759,0.1,0.308,0.132,0.15,0.04,,0.097,0.125,0.049,0.029,0.034,0.01,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
CVVM,2018-12-01,2018-12-13,FALSE,National,,1050,0.61,743,0.1,0.333,0.143,0.142,0.042,,0.102,0.094,0.041,0.045,0.03,0.009,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
Median,2018-11-10,2018-12-09,FALSE,National,,1056,0.605,,0.5,0.295,0.135,0.13,0.1,,0.07,0.075,0.055,0.05,0.06,0.015,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,https://www.median.eu/cs/wp-content/uploads/2018/12/MEDIAN_Snemovni_volebni_model_2018_11.pdf
STEM,2018-11-19,2018-11-30,FALSE,National,,1034,0.55,,0.1,0.357,0.124,0.131,0.069,,0.076,0.066,0.051,0.049,0.046,0.015,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,https://www.stem.cz/stem-volebni-preference-listopad-2018/
Kantar,2018-11-03,2018-11-25,FALSE,National,,1200,,885,0.5,0.325,0.16,0.19,0.055,,0.06,0.05,0.045,0.04,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://ct24.ceskatelevize.cz/clanek/domaci/hnuti-ano-neublizila-ozivena-kauza-kolem-babise-v-listopadu-naopak-vyrazne-posililo-72883
CVVM,2018-11-03,2018-11-15,FALSE,National,,1080,0.6,749,0.1,0.296,0.144,0.141,0.074,,0.1,0.091,0.048,0.032,0.042,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
